qno,correct_ans
1,4
2,2
3,1
4,4
5,4
6,4
7,4
8,3
9,4
10,3
11,2
12,4
13,1
14,2
15,4
16,3
17,2
18,2
19,3
20,4
21,2
22,3
23,4
24,3
25,1
26,1
27,2
28,2
29,2
30,1
31,4
32,2
33,2
34,3
35,2
36,4
37,2
38,2
39,3
40,3
41,2
42,2
43,1
44,2
45,2
46,4
47,3
48,1
49,3
50,4
51,2
52,4
53,3
54,3
55,1
56,2
57,1
58,4
59,3
60,1
61,4
62,3
63,3
64,4
65,1
66,4
67,1
68,2
69,4
70,1
71,3
72,2
73,2
74,1
75,4
76,1
77,4
78,4
79,1
80,4
81,4
82,2
83,4
84,2
85,1
86,1
87,3
88,2
89,1
90,4
91,3
92,3
93,3
94,2
95,4
96,3
97,3
98,2
99,4
100,3
101,1
102,2
103,2
104,1
105,1
106,3
107,3
108,1
109,2
110,2
111,3
112,3
113,4
114,3
115,3
116,3
117,1
118,3
119,4
120,4
121,2
122,1
123,3
124,1
125,3
126,1
127,3
128,2
129,3
130,3
131,1
132,2
133,3
134,3
135,1
136,3
137,3
138,3
139,3
140,2
141,2
142,2
143,3
144,3
145,3
146,3
147,3
148,2
149,3
150,3
151,3
152,3
153,2
154,3
155,2
