"question_no","question","1","2","3","4"
"01.","प्रधानमंत्री आवास योजना (ग्रामीण) का मुख्य उद्देश्य क्या है?","(a) शहरी आवास","(b) ग्रामीण गरीबों को पक्का घर","(c) किराये का आवास","(d) स्मार्ट सिटी"
"02.","प्रधानमंत्री आवास योजना (ग्रामीण) के अंतर्गत लाभार्थी चयन किस आधार पर किया जाता है?","(a) जनगणना","(b) SECC डेटा","(c) आधार","(d) बैंक खाता"
"03.","प्रधानमंत्री आवास योजना (शहरी) का लक्ष्य वर्ष क्या है?","(a) 2022","(b) 2024","(c) 2025","(d) 2030"
"04.","PMAY-U के अंतर्गत कौन-सा घटक शामिल नहीं है?","(a) इन-सिटू स्लम पुनर्विकास","(b) क्रेडिट लिंक्ड सब्सिडी","(c) किराया आवास","(d) फसल बीमा"
"05.","PMAY योजना किस मंत्रालय द्वारा कार्यान्वित की जाती है?","(a) ग्रामीण विकास","(b) आवासन एवं शहरी कार्य","(c) वित्त मंत्रालय","(d) पंचायती राज"

"06.","प्रधानमंत्री उज्ज्वला योजना का उद्देश्य क्या है?","(a) बिजली कनेक्शन","(b) LPG कनेक्शन","(c) पानी कनेक्शन","(d) गैस सब्सिडी हटाना"
"07.","प्रधानमंत्री उज्ज्वला योजना किस मंत्रालय से संबंधित है?","(a) पेट्रोलियम","(b) ग्रामीण विकास","(c) महिला एवं बाल विकास","(d) ऊर्जा"
"08.","उज्ज्वला योजना के अंतर्गत लाभार्थी कौन हैं?","(a) सभी परिवार","(b) BPL परिवार","(c) महिला मुखिया वाले गरीब परिवार","(d) शहरी गरीब"
"09.","प्रधानमंत्री उज्ज्वला योजना का प्रारंभ किस वर्ष हुआ था?","(a) 2014","(b) 2015","(c) 2016","(d) 2017"
"10.","PMUY योजना का प्रमुख लाभ क्या है?","(a) मुफ्त गैस","(b) स्वच्छ ईंधन","(c) सब्सिडी हटाना","(d) कर छूट"

"11.","प्रधानमंत्री जन धन योजना का उद्देश्य क्या है?","(a) बीमा","(b) वित्तीय समावेशन","(c) ऋण माफी","(d) पेंशन"
"12.","PMJDY के अंतर्गत कौन-सी सुविधा उपलब्ध है?","(a) ओवरड्राफ्ट","(b) क्रेडिट कार्ड","(c) होम लोन","(d) शिक्षा ऋण"
"13.","प्रधानमंत्री जन धन योजना की शुरुआत कब हुई?","(a) 2012","(b) 2013","(c) 2014","(d) 2015"
"14.","PMJDY के अंतर्गत ओवरड्राफ्ट सीमा कितनी है?","(a) ₹5,000","(b) ₹10,000","(c) ₹15,000","(d) ₹20,000"
"15.","PMJDY किसके लिए है?","(a) केवल किसान","(b) केवल महिला","(c) बैंक रहित लोग","(d) छात्र"

"16.","प्रधानमंत्री जीवन ज्योति बीमा योजना किससे संबंधित है?","(a) स्वास्थ्य","(b) जीवन बीमा","(c) फसल बीमा","(d) पेंशन"
"17.","PMJJBY के अंतर्गत बीमा राशि कितनी है?","(a) ₹1 लाख","(b) ₹2 लाख","(c) ₹5 लाख","(d) ₹10 लाख"
"18.","PMJJBY का वार्षिक प्रीमियम कितना है?","(a) ₹12","(b) ₹20","(c) ₹330","(d) ₹436"
"19.","PMJJBY किस आयु वर्ग के लिए है?","(a) 10–50","(b) 18–50","(c) 18–55","(d) 18–70"
"20.","PMJJBY किस मंत्रालय से संबंधित है?","(a) वित्त","(b) स्वास्थ्य","(c) श्रम","(d) ग्रामीण विकास"

"21.","प्रधानमंत्री सुरक्षा बीमा योजना किससे संबंधित है?","(a) जीवन बीमा","(b) दुर्घटना बीमा","(c) स्वास्थ्य बीमा","(d) पेंशन"
"22.","PMSBY में बीमा राशि कितनी है?","(a) ₹1 लाख","(b) ₹2 लाख","(c) ₹5 लाख","(d) ₹10 लाख"
"23.","PMSBY का वार्षिक प्रीमियम कितना है?","(a) ₹12","(b) ₹20","(c) ₹330","(d) ₹436"
"24.","PMSBY किस आयु वर्ग के लिए है?","(a) 10–50","(b) 18–50","(c) 18–70","(d) 21–60"
"25.","PMSBY किस मंत्रालय द्वारा संचालित है?","(a) वित्त","(b) स्वास्थ्य","(c) श्रम","(d) ग्रामीण विकास"

"26.","अटल पेंशन योजना का उद्देश्य क्या है?","(a) बीमा","(b) पेंशन","(c) ऋण","(d) सब्सिडी"
"27.","APY किस आयु वर्ग के लिए है?","(a) 18–40","(b) 18–50","(c) 18–60","(d) 21–60"
"28.","APY में न्यूनतम पेंशन कितनी है?","(a) ₹500","(b) ₹1,000","(c) ₹2,000","(d) ₹3,000"
"29.","APY में अधिकतम पेंशन कितनी है?","(a) ₹3,000","(b) ₹4,000","(c) ₹5,000","(d) ₹10,000"
"30.","APY किस मंत्रालय से संबंधित है?","(a) वित्त","(b) श्रम","(c) सामाजिक न्याय","(d) ग्रामीण विकास"

"31.","प्रधानमंत्री फसल बीमा योजना का उद्देश्य क्या है?","(a) ऋण माफी","(b) फसल सुरक्षा","(c) सिंचाई","(d) बीज वितरण"
"32.","PMFBY किस मंत्रालय द्वारा संचालित है?","(a) कृषि","(b) वित्त","(c) ग्रामीण विकास","(d) जल शक्ति"
"33.","PMFBY में किसानों का प्रीमियम कितना है (खरीफ)?","(a) 1%","(b) 1.5%","(c) 2%","(d) 5%"
"34.","PMFBY में रबी फसलों के लिए प्रीमियम कितना है?","(a) 1%","(b) 1.5%","(c) 2%","(d) 5%"
"35.","PMFBY की शुरुआत किस वर्ष हुई?","(a) 2014","(b) 2015","(c) 2016","(d) 2017"

"36.","प्रधानमंत्री ग्राम सड़क योजना का उद्देश्य क्या है?","(a) शहरी सड़क","(b) ग्रामीण संपर्क","(c) राष्ट्रीय राजमार्ग","(d) एक्सप्रेसवे"
"37.","PMGSY किस मंत्रालय से संबंधित है?","(a) सड़क परिवहन","(b) ग्रामीण विकास","(c) शहरी विकास","(d) वित्त"
"38.","PMGSY का प्रारंभ किस वर्ष हुआ था?","(a) 1999","(b) 2000","(c) 2001","(d) 2002"
"39.","PMGSY में किन बस्तियों को जोड़ा जाता है?","(a) शहरी","(b) 500+ जनसंख्या","(c) 250+ जनसंख्या","(d) सभी"
