qno,correct_ans
1,3
2,2
3,2
4,2
5,3
6,4
7,2
8,2
9,3
10,2
11,2
12,3
13,2
14,3
15,3
16,2
17,3
18,2
19,2
20,3
21,2
22,2
23,3
24,4
25,1
26,2
27,2
28,2
29,3
30,1
31,2
32,3
33,2
34,3
35,2
36,2
37,3
38,3
39,3
40,2
41,2
42,2
43,2
44,3
45,2
46,2
47,3
48,2
49,2
50,2
51,2
52,3
53,2
54,4
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,1
63,1
64,1
65,3
66,2
67,2
68,3
69,2
70,2
71,2
72,2
73,2
74,2
75,1
76,2
77,2
78,1
79,2
80,1
81,2
82,2
83,2
84,2
85,2
86,2
87,3
88,3
89,2
90,2
91,2
92,3
93,2
94,2
95,2
96,2
97,3
98,3
99,2
100,1
