"question_no","question","1","2","3","4"
"01.","केंद्रीय बजट 2025–26 में कुल व्यय कितना अनुमानित किया गया है?","(a) ₹45.50 लाख करोड़","(b) ₹48.20 लाख करोड़","(c) ₹50.65 लाख करोड़","(d) ₹52.10 लाख करोड़"
"02.","केंद्रीय बजट 2025–26 में कुल प्राप्तियाँ (उधार को छोड़कर) कितनी अनुमानित हैं?","(a) ₹30.12 लाख करोड़","(b) ₹32.45 लाख करोड़","(c) ₹34.96 लाख करोड़","(d) ₹36.80 लाख करोड़"
"03.","केंद्रीय बजट 2025–26 में शुद्ध कर प्राप्तियाँ कितनी अनुमानित हैं?","(a) ₹24.10 लाख करोड़","(b) ₹26.85 लाख करोड़","(c) ₹28.37 लाख करोड़","(d) ₹30.00 लाख करोड़"
"04.","केंद्रीय बजट 2025–26 में राजकोषीय घाटा GDP का कितना प्रतिशत अनुमानित है?","(a) 4.0%","(b) 4.4%","(c) 4.8%","(d) 5.1%"
"05.","वित्त वर्ष 2025–26 में पूंजीगत व्यय कितना निर्धारित किया गया है?","(a) ₹9.5 लाख करोड़","(b) ₹10.3 लाख करोड़","(c) ₹11.21 लाख करोड़","(d) ₹12.0 लाख करोड़"

"06.","प्रधानमंत्री धन–धान्य कृषि योजना का उद्देश्य क्या है?","(a) सिंचाई विस्तार","(b) कृषि उत्पादकता बढ़ाना","(c) जैविक खेती","(d) फसल बीमा"
"07.","प्रधानमंत्री धन–धान्य कृषि योजना के अंतर्गत कितने जिलों को शामिल किया गया है?","(a) 75","(b) 100","(c) 125","(d) 150"
"08.","दलहन आत्मनिर्भरता मिशन किस अवधि के लिए शुरू किया गया है?","(a) 2024–25 से 2028–29","(b) 2025–26 से 2030–31","(c) 2026–27 से 2031–32","(d) 2025–26 से 2029–30"
"09.","दलहन आत्मनिर्भरता मिशन का लक्ष्य 2030–31 तक कितना उत्पादन करना है?","(a) 300 लाख टन","(b) 325 लाख टन","(c) 350 लाख टन","(d) 375 लाख टन"
"10.","दलहन मिशन के अंतर्गत किन फसलों पर विशेष ध्यान दिया गया है?","(a) अरहर, उड़द, मसूर","(b) चना, मटर, राजमा","(c) सोयाबीन, मूंगफली","(d) सरसों, तिल"

"11.","बिहार में किस फसल के लिए बोर्ड स्थापित करने की घोषणा की गई है?","(a) गेहूं","(b) चावल","(c) मक्का","(d) गन्ना"
