qno,correct_ans
1,2
2,3
3,1
4,3
5,2
6,3
7,3
8,2
9,3
10,4
11,4
12,1
13,4
14,3
15,3
16,1
17,3
18,2
19,1
20,3
21,4
22,4
23,1
24,3
25,3
26,3
27,4
28,4
29,4
30,2
31,4
32,2
33,4
34,4
35,1
36,4
37,3
38,3
39,1
40,4
41,3
42,4
43,1
44,3
45,4
46,1
47,4
48,4
49,1
50,3
51,2
52,2
53,3
54,4
55,2
56,4
57,1
58,4
59,2
60,3
61,3
62,4
63,3
64,1
65,2
66,3
67,1
68,1
69,1
70,2
71,3
72,3
73,3
74,4
75,3
76,4
77,2
78,3
79,3
80,2
81,1
82,3
83,1
84,3
85,3
86,1
87,3
88,2
89,3
90,2
91,2
92,3
93,3
94,4
95,3
96,1
97,3
98,3
99,2
100,4
101,4
102,3
103,3
104,2
105,1
106,2
107,2
108,1
109,1
110,1
111,3
112,4
113,4
114,3
115,3
116,3
117,3
118,1
119,3
120,3
121,4
122,1
123,2
124,4
125,1
126,1
127,4
128,2
129,1
130,3
131,1
132,1
133,2
134,1
135,4
136,2
137,1
138,2
139,1
140,4
141,1
142,1
143,3
144,1
145,1
146,2
147,1
148,4
149,2
150,2
151,3
152,2
153,2
154,2
155,4
156,1
157,1
158,3
159,1
160,2
161,2
162,2
163,1
164,2
165,1
166,3
167,1
168,2
169,2
170,3
171,2
172,2
173,2
174,1
175,2
176,1
177,3
178,3
179,3
180,2
181,2
182,3
183,3
184,1
185,2
186,4
187,2
188,2
189,3
190,1
191,4
192,3
193,2
194,1
195,2
