qno,correct_ans
1,3
2,1
3,2
4,2
5,3
6,2
7,3
8,3
9,1
10,4
11,3
12,3
13,3
14,2
15,4
16,4
17,1
18,4
19,4
20,4
21,1
22,3
23,2
24,2
25,4
26,2
27,4
28,3
29,2
30,4
31,3
32,2
33,3
34,3
35,3
36,3
37,2
38,1
39,1
40,3
41,1
42,3
43,3
44,1
45,3
46,3
47,2
48,2
49,3
50,3
51,3
52,4
53,4
54,1
55,4
56,4
57,3
58,1
59,4
60,4
61,1
62,1
63,4
64,4
65,4
66,3
67,1
68,1
69,1
70,1
71,2
72,2
73,4
74,4
75,4
76,1
77,1
78,2
79,2
80,2
81,4
82,1
83,1
84,2
85,4
86,2
87,1
88,4
89,4
90,1
91,2
92,2
93,1
94,4
95,3
96,1
97,2
98,2
99,2
100,2
101,4
102,1
103,2
104,4
105,2
106,1
107,1
108,3
109,1
110,4
111,2
112,3
113,2
114,3
115,2
116,4
117,4
118,4
119,1
120,1
121,2
122,4
123,2
124,1
125,2
126,4
127,3
128,4
129,2
130,4
131,2
132,1
133,3
134,3
135,2
136,3
137,2
138,2
139,4
140,4
141,4
142,3
143,2
144,1
145,1
146,1
147,2
148,1
149,2
150,4
151,3
152,3
153,3
154,2
155,2
156,2
157,3
158,2
159,3
160,4
161,1
162,3
163,3
164,2
165,3
