qno,correct_ans
1,4
2,1
3,3
4,1
5,4
6,4
7,4
8,2
9,4
10,4
11,4
12,1
13,3
14,3
15,1
16,4
17,4
18,2
19,4
20,4
21,2
22,4
23,2
24,4
25,2
26,1
27,3
28,3
29,2
30,4
31,1
32,4
33,4
34,4
35,2
36,2
37,2
38,4
39,4
40,2
41,1
42,4
43,1
44,1
45,1
46,4
47,4
48,2
49,2
50,4
51,3
52,1
53,1
54,3
55,1
56,3
57,2
58,1
59,2
60,3
61,1
62,2
63,2
64,4
65,4
66,4
67,3
68,4
69,3
70,1
71,2
72,1
73,2
74,1
75,3
76,4
77,4
78,3
79,4
80,2
81,1
82,1
83,3
84,4
85,3
86,1
87,4
88,2
89,2
90,3
91,1
92,1
93,1
94,4
95,4
96,3
97,3
98,2
99,2
100,2
101,1
102,3
103,4
104,1
105,4
106,1
107,1
108,4
109,4
110,1
111,4
112,1
113,3
114,2
115,1
116,1
117,4
118,1
119,2
120,4
121,1
122,1
123,1
124,1
125,2
126,1
127,1
128,4
129,2
130,4
131,3
132,2
133,3
134,2
135,3
136,2
137,3
138,2
139,2
140,3
