"question_no","question","1","2","3","4"
"01.","Which country ranked first in the World Competitiveness Index 2025?","(a) USA","(b) Switzerland","(c) Singapore","(d) Germany"
"02.","India ranked at what position in the World Competitiveness Index 2025?","(a) 38th","(b) 41st","(c) 49th","(d) 52nd"
"03.","World Competitiveness Index 2025 is issued by which organization?","(a) WEF","(b) IMD","(c) World Bank","(d) OECD"
"04.","Which country topped the World Happiness Report 2025?","(a) Denmark","(b) Finland","(c) Norway","(d) Iceland"
"05.","India’s rank in the World Happiness Report 2025 is?","(a) 110","(b) 115","(c) 118","(d) 126"
"06.","World Happiness Report 2025 is issued by which group?","(a) UNDP","(b) WHO","(c) Oxford Wellbeing Research Centre, Gallup & UN SDSN","(d) IMF"
"07.","Which country ranked first in Corruption Perceptions Index 2024?","(a) Finland","(b) Denmark","(c) Norway","(d) Sweden"
"08.","India’s rank in Corruption Perceptions Index 2024 is?","(a) 85th","(b) 90th","(c) 96th","(d) 102nd"
"09.","Corruption Perceptions Index is issued by?","(a) UNDP","(b) World Bank","(c) Transparency International","(d) OECD"
"10.","In Climate Change Performance Index 2025, which rank is Denmark placed at?","(a) 1st","(b) 2nd","(c) 4th","(d) 10th"

"11.","Which organization issues the Climate Change Performance Index?","(a) UNEP","(b) Germanwatch, New Climate Institute & CAN International","(c) IPCC","(d) WEF"
"12.","Which country ranked first in Global Peace Index 2025?","(a) Ireland","(b) Denmark","(c) Iceland","(d) Norway"
"13.","India’s rank in Global Peace Index 2025 is?","(a) 110","(b) 115","(c) 118","(d) 126"
"14.","Global Peace Index is issued by which organization?","(a) SIPRI","(b) IEP","(c) UNDP","(d) World Bank"
"15.","Which country topped the World Press Freedom Index 2025?","(a) Finland","(b) Norway","(c) Sweden","(d) Denmark"
"16.","India’s rank in World Press Freedom Index 2025 is?","(a) 145","(b) 148","(c) 150","(d) 151"
"17.","World Press Freedom Index is issued by?","(a) UNESCO","(b) Amnesty International","(c) Reporters Without Borders","(d) UNDP"
"18.","Which country ranked first in Human Development Report 2025?","(a) Norway","(b) Switzerland","(c) Iceland","(d) Finland"
"19.","India’s rank in Human Development Report 2025 is?","(a) 125","(b) 128","(c) 130","(d) 134"
"20.","Human Development Report is issued by which organization?","(a) UN","(b) UNDP","(c) World Bank","(d) WHO"

"21.","Which country ranked first in Global Firepower Index 2025?","(a) China","(b) Russia","(c) USA","(d) India"
"22.","India’s rank in Global Firepower Index 2025 is?","(a) 2nd","(b) 3rd","(c) 4th","(d) 5th"
"23.","Global Firepower Index is issued by?","(a) SIPRI","(b) Global Firepower","(c) IEP","(d) UNDP"
"24.","Which country topped the Henley Passport Index 2025?","(a) Japan","(b) Germany","(c) Singapore","(d) Finland"
"25.","India’s rank in Henley Passport Index 2025 is?","(a) 80th","(b) 82nd","(c) 85th","(d) 90th"
"26.","Henley Passport Index is issued by?","(a) IATA","(b) Henley & Partners","(c) WEF","(d) UNWTO"
"27.","Which country ranked first in Global Terrorism Index 2025?","(a) Syria","(b) Somalia","(c) Burkina Faso","(d) Afghanistan"
"28.","India’s rank in Global Terrorism Index 2025 is?","(a) 12th","(b) 14th","(c) 16th","(d) 18th"
"29.","Global Terrorism Index is issued by?","(a) SIPRI","(b) IEP","(c) UNODC","(d) World Bank"
"30.","Which country topped the Global Innovation Index 2025?","(a) USA","(b) Switzerland","(c) Sweden","(d) Germany"

"31.","India’s rank in Global Innovation Index 2025 is?","(a) 36th","(b) 38th","(c) 40th","(d) 42nd"
"32.","Global Innovation Index is issued by?","(a) OECD","(b) WIPO","(c) World Bank","(d) IMF"
"33.","Which city ranked first in Global Liveability Index 2025?","(a) Vienna","(b) Zurich","(c) Copenhagen","(d) Melbourne"
"34.","Which Indian cities are ranked 141st in Global Liveability Index 2025?","(a) Delhi & Kolkata","(b) Delhi & Mumbai","(c) Mumbai & Chennai","(d) Bengaluru & Hyderabad"
"35.","Global Liveability Index is issued by?","(a) WEF","(b) EIU","(c) UNDP","(d) OECD"
"36.","Which country topped the Index of Economic Freedom 2025?","(a) USA","(b) Switzerland","(c) Singapore","(d) Japan"
"37.","India’s rank in Index of Economic Freedom 2025 is?","(a) 120","(b) 125","(c) 128","(d) 130"
"38.","Index of Economic Freedom is issued by?","(a) IMF","(b) Heritage Foundation","(c) World Bank","(d) OECD"
"39.","Which country topped the UN Sustainable Development Report 2025?","(a) Denmark","(b) Finland","(c) Sweden","(d) Norway"
"40.","India’s rank in UN Sustainable Development Report 2025 is?","(a) 95","(b) 97","(c) 99","(d) 101"

"41.","UN Sustainable Development Report is issued by?","(a) UNDP","(b) UN SDSN","(c) WHO","(d) UNEP"
"42.","Which country topped the Global Gender Gap Report 2025?","(a) Finland","(b) Iceland","(c) Norway","(d) Sweden"
"43.","India’s rank in Global Gender Gap Report 2025 is?","(a) 127","(b) 129","(c) 131","(d) 133"
"44.","Global Gender Gap Report is issued by?","(a) UN Women","(b) WEF","(c) UNDP","(d) World Bank"
"45.","Which country ranked lowest in Global Hunger Index 2025?","(a) Yemen","(b) Somalia","(c) Afghanistan","(d) Sudan"
"46.","India’s rank in Global Hunger Index 2025 is?","(a) 96th","(b) 98th","(c) 100th","(d) 102nd"
"47.","India falls under which category in Global Hunger Index 2025?","(a) Moderate","(b) Serious","(c) Alarming","(d) Severe"
"48.","Global Hunger Index is issued by?","(a) FAO","(b) WHO","(c) Concern Worldwide & Welthungerhilfe","(d) UNDP"
"49.","Which country topped the AI Preparedness Index 2024?","(a) USA","(b) UK","(c) Singapore","(d) Germany"
"50.","India’s rank in AI Preparedness Index 2024 is?","(a) 65","(b) 68","(c) 70","(d) 72"

"51.","AI Preparedness Index is issued by?","(a) OECD","(b) IMF","(c) WEF","(d) World Bank"
"52.","Which country topped the Global Energy Transition Index 2025?","(a) Denmark","(b) Sweden","(c) Norway","(d) Finland"
"53.","India’s rank in Global Energy Transition Index 2025 is?","(a) 68","(b) 69","(c) 70","(d) 71"
"54.","Global Energy Transition Index is issued by?","(a) IEA","(b) WEF","(c) UNDP","(d) OECD"
"55.","Which country topped Environmental Change Performance Index 2024?","(a) Norway","(b) Sweden","(c) Estonia","(d) Finland"
"56.","India’s rank in Environmental Change Performance Index 2024 is?","(a) 170","(b) 173","(c) 176","(d) 178"
"57.","Environmental Change Performance Index is issued by?","(a) UNEP","(b) Yale & Columbia Universities","(c) UNDP","(d) WEF"
"58.","Which country topped Network Readiness Index 2024?","(a) USA","(b) Singapore","(c) Finland","(d) Sweden"
"59.","India’s rank in Network Readiness Index 2024 is?","(a) 45th","(b) 47th","(c) 49th","(d) 51st"
"60.","Network Readiness Index is issued by?","(a) ITU","(b) Portulans Institute","(c) OECD","(d) WEF"

"61.","Which country topped Logistics Performance Index 2023?","(a) Germany","(b) Netherlands","(c) Singapore","(d) Japan"
"62.","India’s rank in Logistics Performance Index 2023 is?","(a) 35th","(b) 36th","(c) 38th","(d) 40th"
"63.","Logistics Performance Index is issued by?","(a) WTO","(b) World Bank","(c) IMF","(d) OECD"
"64.","Global Innovation Index 2025 is published by which organization?","(a) OECD","(b) WIPO","(c) IMF","(d) World Bank"
"65.","Which report measures passport strength globally?","(a) Global Mobility Index","(b) Henley Passport Index","(c) World Migration Report","(d) Visa Openness Index"

"66.","Which report evaluates military strength?","(a) Global Peace Index","(b) Global Firepower Index","(c) SIPRI Report","(d) Arms Trade Index"
"67.","Which report ranks countries based on happiness?","(a) HDI","(b) World Happiness Report","(c) SDG Index","(d) Quality of Life Index"
"68.","Which report is issued by Transparency International?","(a) CPI","(b) GPI","(c) HDI","(d) GII"
"69.","Which report is issued by IMD?","(a) Global Innovation Index","(b) World Competitiveness Index","(c) Global Peace Index","(d) CPI"
"70.","Which report is issued by IEP?","(a) GPI","(b) HDI","(c) CPI","(d) GII"

"71.","Which report measures press freedom?","(a) GPI","(b) World Press Freedom Index","(c) CPI","(d) SDG Index"
"72.","Which report measures economic freedom?","(a) World Competitiveness Index","(b) Index of Economic Freedom","(c) Global Innovation Index","(d) CPI"
"73.","Which report evaluates sustainable development goals?","(a) HDI","(b) SDG Report","(c) GPI","(d) CPI"
"74.","Which report evaluates hunger levels globally?","(a) HDI","(b) Global Hunger Index","(c) CPI","(d) GPI"
"75.","Which report ranks innovation ecosystems?","(a) GII","(b) HDI","(c) CPI","(d) GPI"

"76.","Which report ranks livable cities?","(a) World Cities Index","(b) Global Liveability Index","(c) Urban Index","(d) Smart City Index"
"77.","Which report evaluates AI readiness?","(a) Network Readiness Index","(b) AI Preparedness Index","(c) Digital Economy Index","(d) ICT Index"
"78.","Which report evaluates energy transition?","(a) Global Energy Transition Index","(b) Climate Change Index","(c) SDG Index","(d) CPI"
"79.","Which report evaluates logistics efficiency?","(a) LPI","(b) GPI","(c) CPI","(d) HDI"
"80.","Which report evaluates gender equality?","(a) HDI","(b) Global Gender Gap Report","(c) CPI","(d) GPI"

"81.","Which report evaluates corruption perception?","(a) CPI","(b) GPI","(c) HDI","(d) GII"
"82.","Which report evaluates military power?","(a) SIPRI","(b) GPI","(c) Global Firepower Index","(d) HDI"
"83.","Which report evaluates climate performance?","(a) CCPI","(b) CPI","(c) HDI","(d) GPI"
"84.","Which report evaluates innovation capacity?","(a) CPI","(b) GII","(c) HDI","(d) GPI"
"85.","Which report evaluates economic competitiveness?","(a) CPI","(b) World Competitiveness Index","(c) HDI","(d) GPI"

"86.","Which report evaluates development using health, education and income?","(a) SDG","(b) HDI","(c) CPI","(d) GPI"
"87.","Which report evaluates passport strength?","(a) GPI","(b) Henley Passport Index","(c) CPI","(d) HDI"
