qno,correct_ans
1,3
2,1
3,2
4,2
5,3
6,3
7,2
8,3
9,3
10,2
11,2
12,3
13,2
14,2
15,2
16,3
17,3
18,3
19,3
20,2
21,3
22,2
23,2
24,3
25,2
26,2
27,3
28,2
29,2
30,2
31,2
32,2
33,1
34,2
35,2
36,3
37,3
38,3
39,1
40,2
41,2
42,2
43,3
44,2
45,2
46,4
47,2
48,3
49,1
50,3
51,2
52,1
53,2
54,2
55,2
56,3
57,2
58,1
59,2
60,3
61,3
62,3
63,2
64,3
65,2
66,2
67,2
68,1
69,2
70,1
71,2
72,2
73,2
74,2
75,1
76,2
77,2
78,1
79,1
80,2
81,1
82,3
83,1
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,4
92,2
93,3
94,3
95,2
96,1
97,1
98,2
99,1
100,3
