qno,correct_ans
1,2
2,3
3,1
4,3
5,3
6,3
7,4
8,3
9,4
10,1
11,1
12,3
13,1
14,1
15,3
16,1
17,3
18,3
19,1
20,1
21,4
22,4
23,2
24,1
25,1
26,1
27,4
28,2
29,1
30,2
31,1
32,4
33,4
34,2
35,1
36,3
37,3
38,1
39,2
40,2
41,1
42,4
43,1
44,4
45,1
46,1
47,3
48,2
49,4
50,4
51,4
52,1
53,4
54,4
55,4
56,3
57,1
58,2
59,3
60,4
61,4
62,1
63,3
64,1
65,4
66,1
67,3
68,2
69,4
70,1
71,4
72,2
73,4
74,4
75,2
76,4
77,1
78,2
79,4
80,3
81,1
82,2
83,1
84,2
85,4
86,2
87,2
88,4
89,3
90,3
91,1
92,4
93,1
94,4
95,4
96,3
97,1
98,1
99,2
100,3
101,3
102,4
103,4
104,1
105,1
106,4
107,4
108,2
109,1
110,2
111,4
112,2
113,3
114,1
115,4
116,1
117,4
118,4
119,4
120,4
121,4
122,1
123,4
124,2
125,2
126,1
127,1
128,1
129,1
130,4
131,4
132,1
133,3
134,2
135,2
136,2
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,4
145,3
146,3
147,3
148,3
149,1
150,3
151,3
152,3
153,2
154,3
155,3
