question_no,question,option1,option2,option3,option4,correct_answer
1,"A. Bats are nocturnal animals. B. They use echolocation to navigate. C. Echolocation helps them find food in the dark. D. They are active during the night.",ABCD,ACBD,BADC,BCAD,BCAD
2,"A. The rainforests are home to a diverse range of species. B. Many species are still undiscovered. C. They are being destroyed at an alarming rate. D. Conservation efforts are crucial.",ABCD,BADC,DCAB,CDBA,DCAB
3,"A. The invention of the printing press revolutionized communication. B. Books became more accessible. C. Knowledge spread rapidly. D. Literacy rates increased.",ABCD,BACD,CABD,BDCA,BACD
4,"A. Photosynthesis is a process used by plants. B. It converts light energy into chemical energy. C. This energy is stored in the form of glucose. D. Oxygen is released as a byproduct.",ACBD,ABCD,ADBC,BDAC,ACBD
5,"A. The Great Wall of China is an ancient fortification. B. It was built to protect against invasions. C. It stretches over 13,000 miles. D. It is one of the Seven Wonders of the World.",ABCD,BACD,CBDA,DBAC,BACD
6,"A. The internet has transformed communication. B. It allows instant messaging. C. People can video chat across the globe. D. Social media platforms have gained popularity.",ABCD,ACBD,CABD,BCDA,ACBD
7,"A. Water is essential for all living organisms. B. It is involved in various biochemical processes. C. It regulates body temperature. D. It makes up a significant part of the human body.",ABCD,ACBD,BCDA,BDCA,ACBD
8,"A. The Solar System consists of the Sun and eight planets. B. Each planet orbits the Sun. C. The planets vary in size and composition. D. The Sun is the central star.",ABCD,ACBD,BDAC,CDBA,ACBD
9,"A. Exercise has numerous health benefits. B. It strengthens muscles. C. It improves cardiovascular health. D. It boosts mental well-being.",ABCD,BACD,CABD,BDCA,BACD
10,"A. Recycling helps reduce waste. B. It conserves natural resources. C. It saves energy. D. It decreases pollution.",ABCD,BACD,BDCA,CDAB,BACD
11,"A: In recent years, the road safety has become a very serious issue in India.
B: It is important to create awareness about road safety.
C: The increase in the number of vehicles has led to a rise in road accidents.
D: Strict traffic rules need to be implemented to reduce accidents.","ACBD","CABD","BCAD","DBCA","ACBD"
12,"A: The history of astronomy is as old as civilization itself.
B: It has evolved through various stages from ancient to modern times.
C: Astronomy has always fascinated mankind.
D: In ancient times, people used to observe the night sky with naked eyes.","CADB","BDCA","DABC","ABCD","CADB"
13,"A: The internet has revolutionized the way we communicate.
B: It has made information easily accessible to everyone.
C: Social media platforms have brought people closer.
D: However, it has also raised concerns about privacy.","ABCD","BADC","CDAB","DCBA","ABCD"
14,"A: India is known for its rich cultural heritage.
B: Every state has its own unique traditions and customs.
C: Festivals are celebrated with great enthusiasm.
D: Indian culture is a blend of various cultures and traditions.","DABC","BCDA","ACBD","DBCA","DABC"
15,"A: The importance of education cannot be overstated.
B: It is the foundation of a successful life.
C: Education helps in the overall development of an individual.
D: It opens up new opportunities and avenues.","ABCD","BADC","CDAB","DABC","ABCD"
16,"A: Technology has changed the way we live.
B: It has made our lives easier and more convenient.
C: However, it has also made us dependent on gadgets.
D: We need to use technology wisely.","ABCD","BCDA","CDBA","DABC","ABCD"
17,"A: Environmental pollution is a major concern today.
B: It has harmful effects on health and the ecosystem.
C: Measures need to be taken to reduce pollution.
D: Everyone should contribute towards a cleaner environment.","ABCD","BADC","CDAB","DABC","ABCD"
18,"A: Reading books is a good habit.
B: It enhances knowledge and vocabulary.
C: Books can be a great source of entertainment.
D: Everyone should cultivate the habit of reading.","ABCD","BADC","CDAB","DABC","ABCD"
19,"A: Sports are an essential part of a healthy lifestyle.
B: They keep us physically and mentally fit.
C: Playing sports helps in developing team spirit.
D: It is important to encourage sports activities.","ABCD","BADC","CDAB","DABC","ABCD"
20,"A: Music is a universal language.
B: It has the power to bring people together.
C: Different genres of music appeal to different people.
D: Music can be a source of comfort and joy.","ABCD","BADC","CDAB","DABC","ABCD"
21,"A: The importance of time management cannot be ignored.
B: It helps in achieving goals efficiently.
C: Time management skills are crucial for success.
D: Everyone should learn to manage their time effectively.","ABCD","BADC","CDAB","DABC","ABCD"
22,"A: Cleanliness is next to godliness.
B: A clean environment is essential for good health.
C: We should keep our surroundings clean.
D: Cleanliness habits should be inculcated from childhood.","ABCD","BADC","CDAB","DABC","ABCD"
23,"A: Traveling is a great way to learn about new cultures.
B: It broadens our perspective.
C: Traveling can be an enriching experience.
D: It helps in understanding different ways of life.","ABCD","BADC","CDAB","DABC","ABCD"
24,"A: Exercise is important for maintaining good health.
B: It helps in keeping the body fit and active.
C: Regular exercise can prevent many health problems.
D: Everyone should include exercise in their daily routine.","ABCD","BADC","CDAB","DABC","ABCD"
25,"A: The role of teachers in society is crucial.
B: They shape the future of the nation.
C: Teachers impart knowledge and values to students.
D: Their contribution to society is invaluable.","ABCD","BADC","CDAB","DABC","ABCD"
26,"A: The impact of climate change is evident.
B: It has led to extreme weather conditions.
C: Global efforts are needed to combat climate change.
D: Everyone should be aware of its consequences.","ABCD","BADC","CDAB","DABC","ABCD"
27,"A: Science and technology have transformed our lives.
B: They have made incredible advancements possible.
C: Innovations in these fields continue to improve our quality of life.
D: The future holds even more exciting possibilities.","ABCD","BADC","CDAB","DABC","ABCD"
28,"A: The importance of good nutrition cannot be overstated.
B: It is essential for overall health and well-being.
C: A balanced diet provides all the necessary nutrients.
D: Everyone should be mindful of their dietary choices.","ABCD","BADC","CDAB","DABC","ABCD"
